Amount,Pylon_Ges,Pylon_Ges_Anz,Pylon_0,Pylon_1,Pylon_2,Pylon_3,Pylon_4,Pylon_5,Pylon_6,Pylon_7,Pylon_8,Pylon_9,Pylon_10
1,AIM-9L,6,True,True,True,,,,,,True,True,True
1,AIM-9M,6,True,True,True,,,,,,True,True,True
1,AIM-120A,6,True,True,True,,,,,,True,True,True
57,FFAR Mighty Mouse Rockets,2,,,True,,,,,,True,,
19,70 mm Hydra-70 M247 rocket,2,,,True,,,,,,True,,
1,AGM-65D,2,,,True,,,,,,True,,
3,AGM-65D,2,,,True,,,,,,True,,
1,AGM-65G,2,,,True,,,,,,True,,
1,500lb LDGP Mk 82,4,,,True,True,,,,True,True,,
1,2000lb LDGP Mk 84,4,,,True,True,,,,True,True,,
1,2000lb LDGP Mk 84 Air Bomb,4,,,True,True,,,,True,True,,
3,500lb Mk 82 Snakeye,4,,,True,True,,,,True,True,,
2,GBU-12 Paveway II,2,,,True,,,,,,True,,
1,GBU-24 Paveway III,4,,,True,True,,,,True,True,,
2,GBU-38 JDAM ,2,,,True,,,,,,True,,
1,GBU-31 JDAM,2,,,True,,,,,,True,,
4,GBU-39/B (SDB I),2,,,True,,,,,,True,,
2,BLU-27/B,4,,,True,True,,,,True,True,,
6,500lb LDGP Mk 82,2,,,,True,,,,True,,,
6,500 lb Mk 82 Snakeye,2,,,,True,,,,True,,,
1,Drop tank (370 gal.),3,,,,True,,True,,True,,,
1,LITENING II targeting pod,1,,,,,True,,,,,,
