Amount,Pylon_Ges,Pylon_Ges_Anz,Pylon_0,Pylon_1,Pylon_2,Pylon_3,Pylon_4,Pylon_5,Pylon_6
1,R-60,6,True,True,True,,True,True,True
1,R-60M,6,True,True,True,,True,True,True
20,S-8KO,6,,True,True,,True,True,
1,S-24B ,2,,True,True,,True,True,
4,100 kg OFAB-100,2,,True,True,,True,True,
1,250 kg FAB-250M-62 ,2,,True,True,,True,True,
2,250 kg FAB-250M-62 ,2,,True,True,,True,True,
1,250 kg FAB-250M-54 ,2,,True,True,,True,True,
2,250 kg FAB-250M-54 ,4,,True,True,,True,True,
1,250 kg OFAB-250Sh ,4,,True,True,,True,True,
2,250 kg OFAB-250Sh ,4,,True,True,,True,True,
1,500 kg FAB-500Sh ,4,,True,True,,True,True,
1,500 kg FAB-500M-62 ,2,,True,True,,True,True,
1,500 kg FAB-500M-54 ,4,,True,True,,True,True,
1,ZB-500 ,2,,True,True,,True,True,
1,R-27R ,2,,,True,,True,,
1,R-27ER ,2,,,True,,True,,
1,R-27T ,4,,,True,,True,,
2,500 kg FAB-500Sh ,2,,,True,,True,,
2,500 kg FAB-500M-62 ,2,,,True,,True,,
2,500 kg FAB-500M-54 ,3,,,True,,True,,
1,Drop tank (1520 liters.) ,1,,,,True,,,
